id,numero_de_estacion,nombre,direccion,barrio,comuna,emplazamiento,latitud,longitud
167,275,PLAZA 24 DE SEPTIEMBRE,1355 San Martin Av.,,,,-34.606984,-58.44854
267,315,BEIRO Y SAN MARTÍN,3209 Av. Francisco Beiro,,,,-34.5976121,-58.4985424
255,374,PUAN,Yerbal 1290,,,,-34.622092,-58.448547000000005
349,232,SUCRE Y MARTINEZ,Mcal. Antonio José de Sucre 3515,,,,-34.5703869,-58.4663122
386,277,COGHLAN,2647 Estomba,,,,-34.5654,-58.4759
564,318,QUESADA,Quesada y Pacheco.,,,,-34.567603678163906,-58.48876191163941
381,274,GAVILÁN,Gavilán 1200,,,,-34.6162466,-58.4658836
177,177,PLANETARIO,Av Casares y Av Belisario Roldan,,,,-34.568165,-58.412121
455,39,PLAZA DON BOSCO,Elpidio Gonzalez 5181,,,,-34.62652,-58.50804999999999
375,301,ARREGUI Y TERRADA,2793 Arregui,,,,-34.604597356692906,-58.484812116143225
457,110,PLAZA CD DE BANFF,ROMA 786,,,,-34.62805,-58.52174
429,201,PLAZA EJERCITO DE LOS ANDES,Av. Rivadavia y Albariño,,,,-34.63897407331851,-58.51010241799405
251,388,PLAZA JOSE C PAZ,Dr. Prof. Pedro Chutro 2881,,,,-34.641728,-58.402483
275,256,PLAZA NORUEGA,Amenabar y Mendoza,,,,-34.562277,-58.459289
117,117,HUMBERTO 1°,Av. Carlos Calvo 513,,,,-34.61955283137281,-58.37315930476108
475,238,PLAZA LAS TOSCANERAS,Ramón Lista 5500 (y Moliere),,,,-34.6165412,-58.52601810000001
229,243,PLAZOLETA CELEDONIO FLORES,Cordoba 6599,,,,-34.581576,-58.451530000000005
424,387,LUNA,Luna 301,,,,-34.639807,-58.39905000000001
584,355,GUARDIA NACIONAL,Manuel Artigas 5196,,,,-34.64463279097436,-58.49709733502237
182,182,RAVIGNANI Y GUATEMALA,"2185 Ravignani, Emilio, Dr. & Guatemala",,,,-34.5780479,-58.435246600000006
